Short_Name	Full_Name
B01002Dm3	MEDIAN AGE BY SEX (ASIAN ALONE): Female: People who are Asian alone -- (Margin of Error)
B01002Ee1	MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01002Em1	MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: People who are Native Hawaiian and Other Pacific Islander alone -- (Margin of Error)
B01002Ee2	MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01002Em2	MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: People who are Native Hawaiian and Other Pacific Islander alone -- (Margin of Error)
B01002Ee3	MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01002Em3	MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: People who are Native Hawaiian and Other Pacific Islander alone -- (Margin of Error)
B01002Fe1	MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: People who are Some Other Race alone -- (Estimate)
B01002Fm1	MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: People who are Some Other Race alone -- (Margin of Error)
B01002Fe2	MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Male: People who are Some Other Race alone -- (Estimate)
B01002Fm2	MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Male: People who are Some Other Race alone -- (Margin of Error)
B01002Fe3	MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Female: People who are Some Other Race alone -- (Estimate)
B01002Fm3	MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Female: People who are Some Other Race alone -- (Margin of Error)
B01002Ge1	MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: People who are Two or More Races -- (Estimate)
B01002Gm1	MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: People who are Two or More Races -- (Margin of Error)
B01002Ge2	MEDIAN AGE BY SEX (TWO OR MORE RACES): Male: People who are Two or More Races -- (Estimate)
B01002Gm2	MEDIAN AGE BY SEX (TWO OR MORE RACES): Male: People who are Two or More Races -- (Margin of Error)
B01002Ge3	MEDIAN AGE BY SEX (TWO OR MORE RACES): Female: People who are Two or More Races -- (Estimate)
B01002Gm3	MEDIAN AGE BY SEX (TWO OR MORE RACES): Female: People who are Two or More Races -- (Margin of Error)
B01002He1	MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Total: White alone, not Hispanic or Latino population -- (Estimate)
B01002Hm1	MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Total: White alone, not Hispanic or Latino population -- (Margin of Error)
B01002He2	MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Male: White alone, not Hispanic or Latino population -- (Estimate)
B01002Hm2	MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Male: White alone, not Hispanic or Latino population -- (Margin of Error)
B01002He3	MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Female: White alone, not Hispanic or Latino population -- (Estimate)
B01002Hm3	MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Female: White alone, not Hispanic or Latino population -- (Margin of Error)
B01002Ie1	MEDIAN AGE BY SEX (HISPANIC OR LATINO): Total: Hispanic or Latino population -- (Estimate)
B01002Im1	MEDIAN AGE BY SEX (HISPANIC OR LATINO): Total: Hispanic or Latino population -- (Margin of Error)
B01002Ie2	MEDIAN AGE BY SEX (HISPANIC OR LATINO): Male: Hispanic or Latino population -- (Estimate)
B01002Im2	MEDIAN AGE BY SEX (HISPANIC OR LATINO): Male: Hispanic or Latino population -- (Margin of Error)
B01002Ie3	MEDIAN AGE BY SEX (HISPANIC OR LATINO): Female: Hispanic or Latino population -- (Estimate)
B01002Im3	MEDIAN AGE BY SEX (HISPANIC OR LATINO): Female: Hispanic or Latino population -- (Margin of Error)
B01003e1	TOTAL POPULATION: Total: Total population -- (Estimate)
B01003m1	TOTAL POPULATION: Total: Total population -- (Margin of Error)
B02001e1	RACE: Total: Total population -- (Estimate)
B02001m1	RACE: Total: Total population -- (Margin of Error)
B02001e2	RACE: White alone: Total population -- (Estimate)
B02001m2	RACE: White alone: Total population -- (Margin of Error)
B02001e3	RACE: Black or African American alone: Total population -- (Estimate)
B02001m3	RACE: Black or African American alone: Total population -- (Margin of Error)
B02001e4	RACE: American Indian and Alaska Native alone: Total population -- (Estimate)
B02001m4	RACE: American Indian and Alaska Native alone: Total population -- (Margin of Error)
B02001e5	RACE: Asian alone: Total population -- (Estimate)
B02001m5	RACE: Asian alone: Total population -- (Margin of Error)
B02001e6	RACE: Native Hawaiian and Other Pacific Islander alone: Total population -- (Estimate)
B02001m6	RACE: Native Hawaiian and Other Pacific Islander alone: Total population -- (Margin of Error)
B02001e7	RACE: Some other race alone: Total population -- (Estimate)
B02001m7	RACE: Some other race alone: Total population -- (Margin of Error)
B02001e8	RACE: Two or more races: Total population -- (Estimate)
B02001m8	RACE: Two or more races: Total population -- (Margin of Error)
B02001e9	RACE: Two or more races: Two races including Some other race: Total population -- (Estimate)
B02001m9	RACE: Two or more races: Two races including Some other race: Total population -- (Margin of Error)
B02001e10	RACE: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Estimate)
B02001m10	RACE: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)
B02008e1	WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: White alone or in combination with one or more other races -- (Estimate)
B02008m1	WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: White alone or in combination with one or more other races -- (Margin of Error)
B02009e1	BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Black or African American alone or in combination with one or more other races -- (Estimate)
B02009m1	BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Black or African American alone or in combination with one or more other races -- (Margin of Error)
B02010e1	AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: People who are American Indian or Alaska Native alone or in combination with one or more other races -- (Estimate)
B02010m1	AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: People who are American Indian or Alaska Native alone or in combination with one or more other races -- (Margin of Error)
B02011e1	ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Asian alone or in combination with one or more other races -- (Estimate)
B02011m1	ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Asian alone or in combination with one or more other races -- (Margin of Error)
B02012e1	NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races -- (Estimate)
B02012m1	NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races -- (Margin of Error)
B02013e1	SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Some other race alone or in combination with one or more other races -- (Estimate)
B02013m1	SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Some other race alone or in combination with one or more other races -- (Margin of Error)
C02003e1	DETAILED RACE: Total: Total population -- (Estimate)
C02003m1	DETAILED RACE: Total: Total population -- (Margin of Error)
C02003e2	DETAILED RACE: Population of one race: Total population -- (Estimate)
C02003m2	DETAILED RACE: Population of one race: Total population -- (Margin of Error)
C02003e3	DETAILED RACE: Population of one race: White: Total population -- (Estimate)
C02003m3	DETAILED RACE: Population of one race: White: Total population -- (Margin of Error)
C02003e4	DETAILED RACE: Population of one race: Black or African American: Total population -- (Estimate)
C02003m4	DETAILED RACE: Population of one race: Black or African American: Total population -- (Margin of Error)
C02003e5	DETAILED RACE: Population of one race: American Indian and Alaska Native: Total population -- (Estimate)
C02003m5	DETAILED RACE: Population of one race: American Indian and Alaska Native: Total population -- (Margin of Error)
C02003e6	DETAILED RACE: Population of one race: Asian alone: Total population -- (Estimate)
C02003m6	DETAILED RACE: Population of one race: Asian alone: Total population -- (Margin of Error)
C02003e7	DETAILED RACE: Population of one race: Native Hawaiian and Other Pacific Islander: Total population -- (Estimate)
C02003m7	DETAILED RACE: Population of one race: Native Hawaiian and Other Pacific Islander: Total population -- (Margin of Error)
C02003e8	DETAILED RACE: Population of one race: Some other race: Total population -- (Estimate)
C02003m8	DETAILED RACE: Population of one race: Some other race: Total population -- (Margin of Error)
C02003e9	DETAILED RACE: Population of two or more races: Total population -- (Estimate)
C02003m9	DETAILED RACE: Population of two or more races: Total population -- (Margin of Error)
C02003e10	DETAILED RACE: Population of two or more races: Some other race: Two races including Some other race: Total population -- (Estimate)
C02003m10	DETAILED RACE: Population of two or more races: Some other race: Two races including Some other race: Total population -- (Margin of Error)
C02003e11	DETAILED RACE: Population of two or more races: Some other race: Two races excluding Some other race, and three or more races: Total population -- (Estimate)
C02003m11	DETAILED RACE: Population of two or more races: Some other race: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)
C02003e12	DETAILED RACE: Population of two or more races: Population of two races: Total population -- (Estimate)
C02003m12	DETAILED RACE: Population of two or more races: Population of two races: Total population -- (Margin of Error)
C02003e13	DETAILED RACE: Population of two or more races: Population of two races: White; Black or African American: Total population -- (Estimate)
C02003m13	DETAILED RACE: Population of two or more races: Population of two races: White; Black or African American: Total population -- (Margin of Error)
C02003e14	DETAILED RACE: Population of two or more races: Population of two races: White; American Indian and Alaska Native: Total population -- (Estimate)
C02003m14	DETAILED RACE: Population of two or more races: Population of two races: White; American Indian and Alaska Native: Total population -- (Margin of Error)
C02003e15	DETAILED RACE: Population of two or more races: Population of two races: White; Asian: Total population -- (Estimate)
C02003m15	DETAILED RACE: Population of two or more races: Population of two races: White; Asian: Total population -- (Margin of Error)
C02003e16	DETAILED RACE: Population of two or more races: Population of two races: Black or African American; American Indian and Alaska Native: Total population -- (Estimate)
C02003m16	DETAILED RACE: Population of two or more races: Population of two races: Black or African American; American Indian and Alaska Native: Total population -- (Margin of Error)
C02003e17	DETAILED RACE: Population of two or more races: Population of two races: All other two race combinations: Total population -- (Estimate)
C02003m17	DETAILED RACE: Population of two or more races: Population of two races: All other two race combinations: Total population -- (Margin of Error)
C02003e18	DETAILED RACE: Population of two or more races: Population of three races: Total population -- (Estimate)
C02003m18	DETAILED RACE: Population of two or more races: Population of three races: Total population -- (Margin of Error)
C02003e19	DETAILED RACE: Population of two or more races: Population of four or more races: Total population -- (Estimate)
C02003m19	DETAILED RACE: Population of two or more races: Population of four or more races: Total population -- (Margin of Error)
B03002e1	HISPANIC OR LATINO ORIGIN BY RACE: Total: Total population -- (Estimate)
B03002m1	HISPANIC OR LATINO ORIGIN BY RACE: Total: Total population -- (Margin of Error)
B03002e2	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Total population -- (Estimate)
B03002m2	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Total population -- (Margin of Error)
B03002e3	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: White alone: Total population -- (Estimate)
B03002m3	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: White alone: Total population -- (Margin of Error)
B03002e4	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Black or African American alone: Total population -- (Estimate)
B03002m4	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Black or African American alone: Total population -- (Margin of Error)
B03002e5	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: American Indian and Alaska Native alone: Total population -- (Estimate)
B03002m5	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: American Indian and Alaska Native alone: Total population -- (Margin of Error)
B03002e6	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Asian alone: Total population -- (Estimate)
B03002m6	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Asian alone: Total population -- (Margin of Error)
B03002e7	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone: Total population -- (Estimate)
B03002m7	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone: Total population -- (Margin of Error)
B03002e8	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Some other race alone: Total population -- (Estimate)
B03002m8	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Some other race alone: Total population -- (Margin of Error)
B03002e9	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Total population -- (Estimate)
B03002m9	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Total population -- (Margin of Error)
B03002e10	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Two races including Some other race: Total population -- (Estimate)
B03002m10	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Two races including Some other race: Total population -- (Margin of Error)
B03002e11	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Estimate)
B03002m11	HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)
B03002e12	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Total population -- (Estimate)
B03002m12	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Total population -- (Margin of Error)
B03002e13	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: White alone: Total population -- (Estimate)
B03002m13	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: White alone: Total population -- (Margin of Error)
B03002e14	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Black or African American alone: Total population -- (Estimate)
B03002m14	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Black or African American alone: Total population -- (Margin of Error)
B03002e15	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: American Indian and Alaska Native alone: Total population -- (Estimate)
B03002m15	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: American Indian and Alaska Native alone: Total population -- (Margin of Error)
B03002e16	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Asian alone: Total population -- (Estimate)
B03002m16	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Asian alone: Total population -- (Margin of Error)
B03002e17	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone: Total population -- (Estimate)
B03002m17	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone: Total population -- (Margin of Error)
B03002e18	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Some other race alone: Total population -- (Estimate)
B03002m18	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Some other race alone: Total population -- (Margin of Error)
B03002e19	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Two or more races: Total population -- (Estimate)
B03002m19	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Two or more races: Total population -- (Margin of Error)
B03002e20	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Two or more races: Two races including Some other race: Total population -- (Estimate)
B03002m20	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Two or more races: Two races including Some other race: Total population -- (Margin of Error)
B03002e21	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Estimate)
B03002m21	HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)
